Id,y
10000,-65.97624775854085
10001,451.4241743394389
10002,-461.6500441673947
10003,40.48601917314585
10004,-126.74338921755663
10005,-342.5360961935507
10006,-396.51194092565356
10007,335.47676959736657
10008,-99.51829645932037
10009,304.7552968419972
10010,68.89574787022806
10011,412.32077341079696
10012,54.933280747105435
10013,-17.003093406345926
10014,-597.8552658363793
10015,443.45879397496043
10016,144.7596141986599
10017,-57.39734481046665
10018,134.35722195774488
10019,-108.97620339247945
10020,153.80523654809136
10021,611.7318794847043
10022,588.4093709160035
10023,-131.00292486121484
10024,-61.14645038375074
10025,-374.2703495378075
10026,74.17306734678377
10027,137.4467803487142
10028,420.0298967681133
10029,196.78849115576858
10030,268.3874442161343
10031,638.4329285673322
10032,127.38803236477261
10033,1.3594614713738506
10034,22.689218726308752
10035,342.2487121321359
10036,307.6705360126735
10037,348.0745358132337
10038,-168.66459938216192
10039,-20.222379692462344
10040,-551.7366833641607
10041,-429.93423756964006
10042,261.8536744467806
10043,389.77658212703057
10044,-96.18681404034754
10045,-210.71852000059295
10046,278.85590709726915
10047,-427.45443238130434
10048,-172.9041148129434
10049,467.2206170559195
10050,-631.5202941745472
10051,-355.57682104912664
10052,143.1647002544465
10053,69.21676128097522
10054,275.58070287139077
10055,-263.16681747140797
10056,167.48416093696792
10057,104.54189266699004
10058,230.03188985038022
10059,20.954450350724755
10060,-4.776328504592798
10061,-201.9304875861695
10062,560.031205505783
10063,55.29798919434947
10064,671.2631073821757
10065,-493.7087789101766
10066,-279.37049750248315
10067,-53.74529447004099
10068,379.6813756803694
10069,315.0645249088597
10070,169.12722939848405
10071,-271.57502890064245
10072,783.752326676812
10073,44.5821711727592
10074,57.405632237964085
10075,-161.10584300929176
10076,-220.65074507025227
10077,223.16991325254304
10078,352.6539588184688
10079,13.146362326244711
10080,-461.9240429200217
10081,305.368546807276
10082,-230.58747980663958
10083,359.02644058309767
10084,-430.22697649372327
10085,-115.54336696364436
10086,-88.9362229459349
10087,-488.2873374895401
10088,-139.30976520812084
10089,57.3143943416986
10090,-190.3337170750267
10091,-6.5137394535820485
10092,189.2692384200304
10093,346.56498258244835
10094,871.5530370698883
10095,-146.97266757172306
10096,443.4474343422867
10097,-30.485161574137862
10098,185.4676854771494
10099,-119.95053205372196
10100,43.566313887667974
10101,58.27819251220339
10102,-197.14719569099796
10103,-70.44601019548219
10104,-342.82113007656625
10105,-29.228741511580523
10106,49.496693605525294
10107,-16.292494663759676
10108,33.71742601196263
10109,-68.85930601838143
10110,25.816618463774475
10111,-617.3130206250911
10112,-185.87825566272468
10113,323.75412617041155
10114,-35.65666191460238
10115,-733.5157559916385
10116,-240.70146114091378
10117,-381.9414273995671
10118,75.2917277839779
10119,36.5777121314141
10120,-28.78583349058033
10121,-481.14224739724165
10122,408.8056449082215
10123,-765.0065346385819
10124,178.03605302805832
10125,-7.659795526813327
10126,134.8376540054407
10127,-477.4614733231262
10128,-248.7074735180143
10129,-361.8573840274736
10130,-18.708655025020363
10131,7.835462880231801
10132,-109.08605184762571
10133,-63.06955784876675
10134,591.7762040574892
10135,259.58746380687677
10136,-279.8101257441967
10137,93.24492004236787
10138,-427.2442367385768
10139,84.3529490885349
10140,-311.55049378847065
10141,11.432953487409945
10142,-297.7841161802606
10143,-331.90311921735935
10144,656.0074843964829
10145,-476.6773898432002
10146,361.20165203404184
10147,-150.17769399401226
10148,299.870657353102
10149,-191.70749113023345
10150,151.89906606204553
10151,-64.67414070160825
